id,date,content,url,likes,retweets,reply_count,hashtags,media_type,media_url,media_path
s1593741479335587840,2022-11-18 23:02:33+00:00,"When you open a Starbucks Reserve® store in an NYC landmark, you celebrate with an NYC icon. @aliciakeys joined us for the lighting ceremony—the first of many unforgettable experiences here at the @EmpireStateBldg. Hope to see you soon. ✨ #StarbucksReserve #AliciaSantaBaby https://t.co/QnaIZCLHpq",https://twitter.com/Starbucks/status/1593741479335587840,1140,178,438,"['StarbucksReserve', 'AliciaSantaBaby']",video,https://video.twimg.com/ext_tw_video/1593741358505902081/pu/vid/480x770/hWppoWvsI9Gfd_n1.mp4?tag=12,Starbucks_media/s1593741479335587840.mp4
s1593640582798352384,2022-11-18 16:21:38+00:00,"A gift that lasts all year round. The next time you use any reusable cup at Starbucks, including the Red Cup, you’ll get 25 Bonus Stars. 🌟 

*At participating stores on in-store beverage purchases (max 3x/day). For benefit, you must have made at least 1 Star earning transaction. https://t.co/CNSuvdQ4PL",https://twitter.com/Starbucks/status/1593640582798352384,1374,214,505,,video,https://video.twimg.com/ext_tw_video/1593639457999159296/pu/vid/540x540/MTPtNGTt9swV6407.mp4?tag=12,Starbucks_media/s1593640582798352384.mp4
s1592880391316471808,2022-11-16 14:00:54+00:00,"A gift you can open right away. 🎁 #RedCupDay is November 17th!

Get your limited-edition Reusable Red Cup with the purchase of any holiday handcrafted beverage. Quantities are limited, while supplies last, at participating US &amp; Canada stores. https://t.co/AZrtgH9tmE",https://twitter.com/Starbucks/status/1592880391316471808,2529,438,351,['RedCupDay'],photo,https://pbs.twimg.com/media/FhsK_HwaYAAv3--?format=jpg&name=large,Starbucks_media/s1592880391316471808.jpg
s1592547977079373824,2022-11-15 16:00:00+00:00,"See you soon, Red Cup Crew. 🎄 #RedCupDay https://t.co/SZahoRn8LA",https://twitter.com/Starbucks/status/1592547977079373824,1961,267,168,['RedCupDay'],photo,https://pbs.twimg.com/media/FhPcZk3aYAARl5E?format=jpg&name=large,Starbucks_media/s1592547977079373824.jpg
s1592185597673672705,2022-11-14 16:00:02+00:00,Your holiday dreams crumb true. ✨ Iced Sugar Cookie Almondmilk Latte https://t.co/tI7G58UjeG,https://twitter.com/Starbucks/status/1592185597673672705,2675,299,148,,photo,https://pbs.twimg.com/media/FhPa3xHaMAEb4DE?format=jpg&name=large,Starbucks_media/s1592185597673672705.jpg
s1590736039202766850,2022-11-10 16:00:00+00:00,"Thankful to celebrate each season with you. 💚 Here's to 25 years of holiday cup cheer!  

With amandakammarada, heleneinbetween, trishaglass, lisa.boettcher, mariah_of_mainstreet, chalkfulloflove, jenpixi (all on IG) and so many more. https://t.co/hsgvjif6aV",https://twitter.com/Starbucks/status/1590736039202766850,1598,215,107,,video,https://video.twimg.com/ext_tw_video/1590493631932428288/pu/vid/720x720/cJjfsPT2RT5l5CPi.mp4?tag=12,Starbucks_media/s1590736039202766850.mp4
s1590373655367671809,2022-11-09 16:00:01+00:00,Setting the bar high. 🤍 Toasted White Chocolate Mocha https://t.co/24coeMzFAZ,https://twitter.com/Starbucks/status/1590373655367671809,1870,172,119,,photo,https://pbs.twimg.com/media/FhABCJragAEiRca?format=jpg&name=large,Starbucks_media/s1590373655367671809.jpg
s1589703520848347139,2022-11-07 19:37:09+00:00,Swirling into the season with Peppermint Mocha. https://t.co/I9qN0bhwZZ,https://twitter.com/Starbucks/status/1589703520848347139,2456,261,104,,photo,https://pbs.twimg.com/media/Fg_CvYDaMAAcYig?format=jpg&name=large,Starbucks_media/s1589703520848347139.jpg
s1588546621603827712,2022-11-04 15:00:03+00:00,Together at last… 💚 https://t.co/9or5pO89aI,https://twitter.com/Starbucks/status/1588546621603827712,7517,760,299,,photo,https://pbs.twimg.com/media/Fgsy8j0acAA1udW?format=jpg&name=large,Starbucks_media/s1588546621603827712.jpg
s1588154775480279041,2022-11-03 13:02:59+00:00,"Fave drinks, fave people: the holidays are here. https://t.co/AjTyS72iAU",https://twitter.com/Starbucks/status/1588154775480279041,5768,709,324,,photo,https://pbs.twimg.com/media/FgpCF0BXEAAU23C?format=jpg&name=large,Starbucks_media/s1588154775480279041.jpg
s1587791655390023681,2022-11-02 13:00:05+00:00,Let the countdown begin. ✨ The holidays are back on November 3rd at Starbucks. https://t.co/p48K0nDvco,https://twitter.com/Starbucks/status/1587791655390023681,19107,2221,679,,photo,https://pbs.twimg.com/media/Fgj3wC5agAA0i7B?format=jpg&name=large,Starbucks_media/s1587791655390023681.jpg
s1577312598600605700,2022-10-04 15:00:03+00:00,"Our Latinx partners (employees) are helping build stronger and kinder communities for all. This #LatinxHeritageMonth, join them in supporting @FriendsSoCal. Help impact generational change by empowering youth with professional mentors. Get involved at https://t.co/8TaKLM8O2v https://t.co/xH0DocOE4L",https://twitter.com/Starbucks/status/1577312598600605700,195,26,328,['LatinxHeritageMonth'],photo,https://pbs.twimg.com/media/FeLezEcXEAACm5B?format=jpg&name=large,Starbucks_media/s1577312598600605700.jpg
s1575863048811663363,2022-09-30 15:00:03+00:00,Now the wedding party is complete. https://t.co/gFMXfw4Myw,https://twitter.com/Starbucks/status/1575863048811663363,557,46,50,,photo,https://pbs.twimg.com/media/Fd2Q6yFX0AENAwA?format=jpg&name=large,Starbucks_media/s1575863048811663363.jpg
s1575500646802784260,2022-09-29 15:00:00+00:00,Happy #NationalCoffeeDay! https://t.co/uXiafNVFSg,https://twitter.com/Starbucks/status/1575500646802784260,1506,268,156,['NationalCoffeeDay'],photo,https://pbs.twimg.com/media/FdxWeS-XoAEBJEH?format=jpg&name=large,Starbucks_media/s1575500646802784260.jpg
s1569341345755439106,2022-09-12 15:05:08+00:00,Make Fall your own. Try your Iced Chai Tea Latte with Pumpkin Cream Cold Foam. 🍂 https://t.co/5hwpCVgIOd,https://twitter.com/Starbucks/status/1569341345755439106,792,71,85,,photo,https://pbs.twimg.com/media/FcdrZQeXoAMY7Up?format=jpg&name=large,Starbucks_media/s1569341345755439106.jpg
s1568252892057948161,2022-09-09 15:00:00+00:00,The Pumpkin Spice Frappuccino® Drink knows how to make an entrance. 🪄 https://t.co/BUyRTT7vlB,https://twitter.com/Starbucks/status/1568252892057948161,900,144,77,,video,https://video.twimg.com/ext_tw_video/1568002822125363200/pu/vid/720x720/rTeAzv75S8gRSJJb.mp4?tag=12,Starbucks_media/s1568252892057948161.mp4
